"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Meeting Organizer","Required Attendees","Optional Attendees","Meeting Resources","Billing Information","Categories","Description","Location","Mileage","Priority","Private","Sensitivity","Show time as"
"CoS Group meeting: Dian, David M, David C, Julia, Jerry, Lew, Art, David T, Juan","5/17/2016","9:00:00 AM","5/17/2016","10:30:00 AM","False","True","5/17/2016","8:45:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"CoS Group meeting: Dian, David M, David C, Julia, Jerry, Lew, Art, David T, Juan","5/24/2016","9:00:00 AM","5/24/2016","10:30:00 AM","False","True","5/24/2016","8:45:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"CoS Group meeting: Dian, David M, David C, Julia, Jerry, Lew, Art, David T, Juan","5/31/2016","9:00:00 AM","5/31/2016","10:30:00 AM","False","True","5/31/2016","8:45:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"Bi-monthly meeting with Lew Lefton","5/5/2016","2:30:00 PM","5/5/2016","3:15:00 PM","False","True","5/5/2016","2:20:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Bi-monthly meeting with Lew Lefton","5/19/2016","2:30:00 PM","5/19/2016","3:15:00 PM","False","True","5/19/2016","2:20:00 PM",,,,,,,,"",,"Normal","False","Normal","2"
"Private Appointment","5/4/2016","12:00:00 AM","5/5/2016","12:00:00 AM","False","False","5/3/2016","6:00:00 AM",,,,,,,,"",,"Normal","True","Private","2"
"Weekly meeting Dian","5/2/2016","9:00:00 AM","5/2/2016","9:30:00 AM","False","True","5/2/2016","8:50:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"Weekly meeting Dian","5/9/2016","9:00:00 AM","5/9/2016","9:30:00 AM","False","True","5/9/2016","8:50:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"Weekly meeting Dian","5/16/2016","9:00:00 AM","5/16/2016","9:30:00 AM","False","True","5/16/2016","8:50:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"Weekly meeting Dian","5/23/2016","9:00:00 AM","5/23/2016","9:30:00 AM","False","True","5/23/2016","8:50:00 AM",,,,,,,,"",,"Normal","False","Normal","2"
"Weekly meeting Dian","5/30/2016","9:00:00 AM","5/30/2016","9:30:00 AM","False","True","5/30/2016","8:50:00 AM",,,,,,,,"",,"Normal","False","Normal","2"

